Fecha,Usuarios,Sesiones,Porcentaje de rebote,Páginas/sesión,Duración media de la sesión,Tasa de conversión de comercio electrónico,Transacciones,CTR de la lista de productos,Número de sesiones por usuario
20211203,8.39,8.936,"42,11 %","4,76",00:02:45,"1,66 %",148,"0,00 %","1,07"
20220406,6.529,7.139,"38,07 %","4,90",00:03:02,"1,88 %",134,"0,00 %","1,09"
20220927,6.202,7.743,"26,60 %","11,95",00:07:50,"2,39 %",185,"0,00 %","1,25"
20220926,5.073,5.814,"30,96 %","9,90",00:06:44,"1,72 %",100,"0,00 %","1,15"
20220407,4.881,5.521,"45,73 %","4,42",00:02:50,"1,52 %",84,"0,00 %","1,13"
20211204,4.658,5.023,"52,78 %","3,97",00:02:21,"1,25 %",63,"0,00 %","1,08"
20211206,4.338,4.8,"44,92 %","5,54",00:03:19,"4,02 %",193,"0,00 %","1,11"
20211207,4.076,4.532,"41,84 %","5,90",00:03:51,"4,02 %",182,"0,00 %","1,11"
20220506,3.94,4.231,"64,45 %","3,79",00:02:07,"2,27 %",96,"0,00 %","1,07"
20211209,3.861,4.341,"43,26 %","6,24",00:04:00,"5,09 %",221,"0,00 %","1,12"
20211208,3.858,4.342,"42,22 %","6,08",00:03:57,"5,90 %",256,"0,00 %","1,13"
20220511,3.791,4.193,"51,75 %","4,59",00:02:54,"2,60 %",109,"0,00 %","1,11"
20221012,3.72,4.177,"39,43 %","5,29",00:03:50,"2,49 %",104,"0,00 %","1,12"
20220512,3.643,4.045,"54,12 %","4,58",00:03:10,"1,83 %",74,"0,00 %","1,11"
20211019,3.485,3.864,"42,52 %","6,44",00:04:07,"5,23 %",202,"0,00 %","1,11"
20211205,3.475,3.748,"50,80 %","4,31",00:02:42,"1,57 %",59,"0,00 %","1,08"
20220607,3.408,3.791,"48,69 %","4,85",00:03:09,"2,37 %",90,"0,00 %","1,11"
20220324,3.401,3.778,"41,05 %","5,69",00:03:34,"3,18 %",120,"0,00 %","1,11"
20220609,3.394,3.932,"44,13 %","4,96",00:03:36,"3,00 %",118,"0,00 %","1,16"
20220928,3.387,3.796,"41,39 %","5,31",00:03:32,"2,05 %",78,"0,00 %","1,12"
20211103,3.384,3.784,"40,01 %","5,49",00:03:39,"3,46 %",131,"0,00 %","1,12"
20211026,3.311,3.675,"43,16 %","5,47",00:03:51,"3,43 %",126,"0,00 %","1,11"
20211210,3.3,3.712,"42,73 %","7,29",00:04:48,"7,52 %",279,"0,00 %","1,12"
20211129,3.282,3.656,"43,03 %","5,55",00:03:47,"4,24 %",155,"0,00 %","1,11"
20220510,3.263,3.632,"46,48 %","4,82",00:03:14,"2,78 %",101,"0,00 %","1,11"
20220408,3.262,3.678,"45,84 %","4,89",00:02:53,"2,07 %",76,"0,00 %","1,13"
20211104,3.26,3.661,"39,91 %","5,41",00:03:50,"3,39 %",124,"0,00 %","1,12"
20220519,3.238,3.645,"45,60 %","5,12",00:03:27,"2,30 %",84,"0,00 %","1,13"
20211122,3.225,3.665,"43,96 %","5,38",00:03:24,"3,33 %",122,"0,00 %","1,14"
20220608,3.224,3.631,"46,35 %","4,70",00:03:11,"2,26 %",82,"0,00 %","1,13"
20220216,3.206,3.513,"46,71 %","4,26",00:03:03,"2,11 %",74,"0,00 %","1,10"
20220507,3.167,3.39,"73,98 %","2,93",00:01:39,"0,88 %",30,"0,00 %","1,07"
20220427,3.151,3.508,"46,01 %","5,10",00:03:23,"2,37 %",83,"0,00 %","1,11"
20220419,3.147,3.55,"46,70 %","4,74",00:03:16,"2,42 %",86,"0,00 %","1,13"
20220411,3.146,3.526,"47,11 %","4,83",00:03:13,"2,35 %",83,"0,00 %","1,12"
20220209,3.14,3.549,"47,84 %","4,62",00:03:24,"2,34 %",83,"0,00 %","1,13"
20220525,3.139,3.55,"45,46 %","4,90",00:03:19,"2,23 %",79,"0,00 %","1,13"
20220420,3.131,3.543,"47,64 %","4,86",00:03:24,"2,57 %",91,"0,00 %","1,13"
20220727,3.13,3.505,"39,60 %","5,37",00:03:38,"2,51 %",88,"0,00 %","1,12"
20221019,3.128,3.48,"42,93 %","4,66",00:03:36,"1,78 %",62,"0,00 %","1,11"
20211213,3.12,3.511,"40,59 %","6,78",00:04:14,"5,87 %",206,"0,00 %","1,13"
20220421,3.085,3.559,"43,35 %","5,25",00:03:41,"2,78 %",99,"0,00 %","1,15"
20220513,3.079,3.353,"53,95 %","4,60",00:02:49,"2,39 %",80,"0,00 %","1,09"
20220719,3.073,3.394,"42,02 %","5,11",00:03:22,"1,97 %",67,"0,00 %","1,10"
20220426,3.068,3.402,"45,41 %","4,90",00:03:25,"1,79 %",61,"0,00 %","1,11"
20220428,3.056,3.403,"44,55 %","5,25",00:03:31,"2,15 %",73,"0,00 %","1,11"
20211216,3.053,3.448,"40,31 %","6,72",00:04:18,"5,63 %",194,"0,00 %","1,13"
20211214,3.047,3.456,"40,34 %","6,29",00:03:57,"5,87 %",203,"0,00 %","1,13"
20220412,3.047,3.433,"44,65 %","4,70",00:03:05,"1,86 %",64,"0,00 %","1,13"
20221013,3.039,3.376,"40,58 %","5,14",00:03:28,"2,19 %",74,"0,00 %","1,11"
20221017,3.036,3.409,"42,92 %","5,01",00:03:39,"2,29 %",78,"0,00 %","1,12"
20220720,3.033,3.423,"41,22 %","5,34",00:03:39,"2,66 %",91,"0,00 %","1,13"
20220425,3.023,3.382,"46,10 %","4,79",00:03:09,"2,51 %",85,"0,00 %","1,12"
20220929,3.022,3.49,"41,35 %","5,04",00:03:54,"2,18 %",76,"0,00 %","1,15"
20220505,3.019,3.385,"45,08 %","5,13",00:03:38,"2,72 %",92,"0,00 %","1,12"
20220526,3.018,3.336,"46,52 %","4,79",00:03:02,"2,22 %",74,"0,00 %","1,11"
20211020,3.017,3.353,"44,74 %","5,68",00:03:33,"3,85 %",129,"0,00 %","1,11"
20220524,3.017,3.377,"45,07 %","5,04",00:03:17,"2,04 %",69,"0,00 %","1,12"
20211130,3.005,3.399,"42,81 %","5,63",00:03:42,"3,85 %",131,"0,00 %","1,13"
20211201,2.998,3.33,"43,87 %","5,26",00:03:39,"4,47 %",149,"0,00 %","1,11"
20220615,2.998,3.339,"43,28 %","5,62",00:03:35,"0,00 %",0,"0,00 %","1,11"
20220517,2.995,3.372,"46,92 %","4,78",00:03:30,"2,16 %",73,"0,00 %","1,13"
20211108,2.99,3.402,"42,86 %","5,25",00:03:33,"3,00 %",102,"0,00 %","1,14"
20211117,2.99,3.344,"44,80 %","5,02",00:03:29,"3,32 %",111,"0,00 %","1,12"
20211202,2.984,3.36,"43,39 %","5,48",00:03:40,"3,15 %",106,"0,00 %","1,13"
20221006,2.984,3.352,"44,21 %","4,83",00:03:17,"1,91 %",64,"0,00 %","1,12"
20211109,2.978,3.328,"42,16 %","5,31",00:03:42,"3,52 %",117,"0,00 %","1,12"
20211005,2.973,3.306,"45,55 %","4,83",00:03:17,"2,09 %",69,"0,00 %","1,11"
20220516,2.97,3.329,"49,02 %","4,68",00:02:58,"2,37 %",79,"0,00 %","1,12"
20211118,2.969,3.311,"43,70 %","5,81",00:03:47,"3,96 %",131,"0,00 %","1,12"
20220208,2.968,3.303,"50,62 %","4,46",00:03:20,"2,42 %",80,"0,00 %","1,11"
20220726,2.961,3.312,"40,76 %","5,46",00:03:42,"2,48 %",82,"0,00 %","1,12"
20220606,2.957,3.319,"44,38 %","5,06",00:03:04,"2,62 %",87,"0,00 %","1,12"
20220601,2.954,3.283,"46,12 %","4,71",00:02:59,"1,98 %",65,"0,00 %","1,11"
20211215,2.953,3.374,"40,25 %","6,60",00:04:31,"5,66 %",191,"0,00 %","1,14"
20211006,2.947,3.287,"44,02 %","5,22",00:03:39,"2,53 %",83,"0,00 %","1,12"
20220523,2.942,3.366,"47,65 %","4,55",00:03:03,"1,84 %",62,"0,00 %","1,14"
20220413,2.92,3.225,"45,61 %","4,73",00:03:14,"2,17 %",70,"0,00 %","1,10"
20211007,2.912,3.285,"44,02 %","5,32",00:03:36,"3,26 %",107,"0,00 %","1,13"
20220616,2.912,3.27,"43,33 %","5,43",00:03:23,"0,00 %",0,"0,00 %","1,12"
20220125,2.904,3.174,"45,31 %","5,21",00:03:10,"2,36 %",75,"0,00 %","1,09"
20220509,2.899,3.293,"46,37 %","4,85",00:03:09,"2,25 %",74,"0,00 %","1,14"
