,Nombre,Bailabilidad,Energía,Acústica,Duración (ms),Instrumentalidad,Sonoridad,Tempo,Discursividad,Género
0,Oceans (Where Feet May Fail),0.262,0.361,0.508,535963,0.00268,-10.187,126.786,0.0333,world-music
1,What A Beautiful Name,0.424,0.506,0.201,238200,0.0,-5.877,135.902,0.0284,world-music
2,So Will I (100 Billion X),0.431,0.416,0.0462,411000,2.01e-06,-10.376,127.964,0.0296,world-music
3,God Only Knows,0.597,0.417,0.395,229760,8.35e-06,-7.952,143.839,0.0502,world-music
4,Who You Say I Am - Studio Version,0.376,0.65,0.00406,198705,0.0,-8.147,171.907,0.0406,world-music
5,King Of Kings,0.489,0.477,0.122,265133,0.0,-7.343,136.045,0.0299,world-music
6,Broken Vessels (Amazing Grace) - Live,0.381,0.505,0.293,568787,4.27e-06,-6.478,140.995,0.0278,world-music
7,Sinking Deep,0.544,0.243,0.599,247373,0.0,-11.825,140.048,0.0277,world-music
8,Who You Say I Am - Live,0.269,0.666,0.000278,329080,0.0,-6.048,171.722,0.0362,world-music
9,New Wine,0.5,0.227,0.606,242720,0.0,-11.61,139.993,0.032,world-music
10,Burn The Ships,0.497,0.542,0.16,276400,1.4e-05,-7.398,93.57,0.0315,world-music
11,For God Is With Us,0.338,0.643,0.0102,196846,1.98e-05,-7.093,75.571,0.0681,world-music
12,Another In The Fire - Live,0.451,0.688,0.000614,393360,0.0,-7.843,135.066,0.0358,world-music
13,What A Beautiful Name - Live,0.396,0.521,0.0101,341080,0.0,-7.093,135.742,0.0312,world-music
14,This I Believe (The Creed) - Live,0.428,0.627,0.012,401760,0.0,-6.307,142.063,0.0306,world-music
15,Love Me Like I Am (with Jordin Sparks),0.536,0.606,0.0133,187307,0.000319,-7.297,159.913,0.0416,world-music
16,Lead Me To The Cross,0.411,0.611,0.0751,258627,0.000221,-4.719,140.002,0.0298,world-music
17,Whole Heart (Hold Me Now) - Live,0.329,0.588,0.0142,449253,0.0,-8.621,161.961,0.0322,world-music
