car_name,reviews_count,fuel_type,engine_displacement,no_cylinder,seating_capacity,transmission_type,fuel_tank_capacity,body_type,rating,starting_price,ending_price,max_torque_nm,max_torque_rpm,max_power_bhp,max_power_rp
Bajaj Qute (RE60),43,CNG,216,1,4,Manual,35,Hatchback,4,361000,361000,16.1,4000,10.8,5500
Porsche Cayenne Coupe,6,Petrol,3996,8,4,Automatic,0,SUV,3.5,391000,397000,850,4500,631.62,6000
Maruti Alto 800 tour,4,Petrol,796,3,5,Manual,35,Hatchback,4.5,391000,397000,69,3500,47.33,6000
Ferrari SF90 Stradale,8,Petrol,3990,8,2,Automatic,68,Coupe,4.5,450000,450000,800,6000,769.31,7500
Datsun redi-GO,67,Petrol,999,3,5,Automatic,28,Hatchback,3.5,398000,496000,91,4250,67.05,5550
Maruti Alto 800,437,CNG,796,3,5,Manual,60,Hatchback,4.5,339000,503000,60,3500,40.36,6000
Maruti Alto K10,51,Petrol,998,3,5,Automatic,27,Hatchback,4.5,399000,583000,89,3500,65.71,5500
Tata Nexon EV Max,1,Electric,0,0,5,Electric,0,SUV,5,463000,583000,250,0,141.04,0
Maruti Eeco,264,Petrol,1196,4,7,Manual,65,Minivan,4.5,463000,594000,85,3000,61.68,6000
Renault KWID,545,Petrol,999,3,5,Automatic,28,Hatchback,4.5,464000,599000,91,4250,67.06,5500
Maruti S-Presso,301,Petrol,998,3,5,Automatic,27,Hatchback,4.5,425000,599000,89,3500,65.71,5500
Hyundai Santro,532,CNG,1086,4,5,Manual,60,Hatchback,4.5,490000,642000,85.3,4501,59.17,5500
Datsun GO,312,Petrol,1198,3,5,Automatic,35,Hatchback,4.5,403000,651000,104,4400,76.43,6000
Maruti Celerio,89,Petrol,998,3,5,Automatic,32,Hatchback,3.5,525000,700000,89,3500,65.71,5500
Datsun GO Plus,307,Petrol,1198,3,7,Automatic,35,MUV,4.5,426000,700000,104,4400,76.43,6000
Lexus RX,5,Petrol,3456,6,5,Automatic,65,SUV,5,726000,726000,335,4600,258.81,6000
Tata Tiago NRG,12,Petrol,1199,3,5,Automatic,35,Hatchback,4.5,642000,738000,113,3300,84.48,6000
Tata Yodha Pickup,4,Diesel,2956,4,4,Manual,45,Pickup Truck,4.5,695000,750000,250,2000,85,3000
Maruti Ignis,461,Petrol,1197,4,5,Automatic,32,Hatchback,4.5,535000,772000,113,4200,81.8,6000
Tata Tiago,435,CNG,1199,3,5,Manual,60,Hatchback,4.5,540000,782000,95,3500,72,6000
Mahindra KUV 100 NXT,226,Petrol,1198,3,6,Manual,35,Hatchback,4.5,618000,784000,115,3600,82,5500
Citroen C3,57,Petrol,1199,3,5,Manual,30,Hatchback,4.5,571000,806000,190,1750,108.62,5500
Renault Triber,774,Petrol,999,3,7,Automatic,40,MUV,4.5,592000,851000,96,3500,71,6250
Tata Tigor,136,CNG,1199,3,5,Manual,60,Sedan,4.5,600000,859000,95,3500,72.4,6000
Maruti Swift,205,Petrol,1197,4,5,Automatic,37,Hatchback,4,592000,885000,113,4400,88.5,6000
Hyundai Aura,261,Petrol,998,3,5,Manual,37,Sedan,4.5,609000,887000,172,4000,98.63,6000
Mercedes-Benz CLS,60,Diesel,1950,4,5,Automatic,66,Coupe,4.5,885000,912000,500,2400,241.3,4200
Maruti Dzire,245,Petrol,1197,4,5,Automatic,37,Sedan,4.5,624000,918000,113,4400,88.5,6000
Mahindra E Verito,14,Electric,0,0,5,Electric,0,Sedan,4,913000,946000,91,3000,41.57,3500
Tata Punch,381,Petrol,1199,3,5,Automatic,37,SUV,4.5,593000,949000,113,3400,84.48,6000
Maruti Baleno,137,Petrol,1197,4,5,Automatic,37,Hatchback,4.5,649000,971000,113,4400,88.5,6000
Mercedes-Benz AMG GLC 43,9,Petrol,2996,6,5,Automatic,0,SUV,4.5,927000,976000,520,5000,384.87,6100
Mercedes-Benz AMG A 45 S,35,Petrol,1991,4,5,Automatic,0,Hatchback,4.5,659000,999000,500,5250,415.71,6750
Honda City 4th Generation,1067,Petrol,1497,4,5,Manual,40,Sedan,4.5,950000,1000000,145,4600,117.6,6600
Tata Altroz,1025,Diesel,1497,4,5,Manual,37,Hatchback,4.5,630000,1025000,200,3000,88.77,4000
